Time (s),Ground Truth (N),Jacobian Estimate (N),In Contact
4.879999999999685,58.94397922755374,58.945413543699566,1
4.939999999999678,59.08582245258855,59.08726955228631,1
4.959999999999676,59.006225087211305,59.00769480443514,1
4.999999999999671,59.14769900567536,59.14914741621912,1
5.019999999999669,59.0241945549783,59.02567746875821,1
5.059999999999665,59.05381380703704,59.05530427906865,1
5.119999999999658,59.14465117722759,59.146134543818896,1
5.159999999999654,59.10640836368134,59.107914423313176,1
5.1799999999996515,59.21650342421265,59.21798824407916,1
5.239999999999645,59.11621565341935,59.11776075579783,1
5.259999999999643,59.164941077977325,59.16646543631337,1
5.2799999999996405,59.22375199693925,59.225255915627,1
5.299999999999638,59.30614887587052,59.307641268800225,1
5.319999999999636,59.35349981618495,59.35499280667216,1
5.399999999999627,59.38341695268483,59.384921123795735,1
5.419999999999625,59.35282053852132,59.35433006813956,1
5.439999999999623,59.332620524860516,59.33413812554062,1
5.459999999999621,59.292436202759674,59.293964604996674,1
5.4799999999996185,59.24992087532479,59.25146109964951,1
5.499999999999616,59.17608778549492,59.17766081725231,1
5.539999999999612,59.4124416480777,59.41396932095781,1
5.55999999999961,59.32181309708609,59.32335411528217,1
5.5799999999996075,59.22105173306933,59.22262157290263,1
5.619999999999603,59.39779376186339,59.39933469928979,1
5.639999999999601,59.234322497914,59.23589143822832,1
5.659999999999599,59.479219661805466,59.480763441579754,1
5.6799999999995965,59.34829570314971,59.349850803010916,1
5.719999999999592,59.4066548519136,59.40820946321544,1
5.73999999999959,59.215631581752476,59.217271157665614,1
5.759999999999588,59.418690096839406,59.420246503558296,1
5.799999999999583,59.37208200861774,59.37364998881548,1
5.819999999999581,59.47771601007982,59.47928926455504,1
5.839999999999579,59.42197240882291,59.423562055094195,1
5.8799999999995745,59.34157399742479,59.34315259436835,1
5.899999999999572,59.47528765839231,59.47686726384583,1
5.91999999999957,59.46680682485133,59.46840223744155,1
5.939999999999568,59.405076393973616,59.406684628160384,1
